xflr5 v6.47

Plane name :, Plane Name
Polar name :, T1-82.3 m/s-LLT-1.0kg-x0.0m
Freestream speed :, 82.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    7.000,     0.000,   0.818125,   0.019786,   0.008198,   0.027984,   0.000000,   0.000000,  -0.343076,  -0.000000,  -0.000000,   82.3100,    0.5474
    7.500,     0.000,   0.863092,   0.021961,   0.008433,   0.030395,   0.000000,   0.000000,  -0.360174,  -0.000000,  -0.000000,   82.3100,    0.5425
    8.000,     0.000,   0.907839,   0.024244,   0.008684,   0.032928,   0.000000,   0.000000,  -0.377235,  -0.000000,  -0.000000,   82.3100,    0.5378
    8.500,     0.000,   0.952250,   0.026626,   0.008947,   0.035573,   0.000000,   0.000000,  -0.394202,  -0.000000,  -0.000000,   82.3100,    0.5332
    9.000,     0.000,   0.995778,   0.029077,   0.009240,   0.038317,   0.000000,   0.000000,  -0.410775,  -0.000000,  -0.000000,   82.3100,    0.5288
    9.500,     0.000,   1.038986,   0.031619,   0.009538,   0.041158,   0.000000,   0.000000,  -0.427246,  -0.000000,  -0.000000,   82.3100,    0.5243
   10.000,     0.000,   1.079889,   0.034143,   0.009851,   0.043995,   0.000000,   0.000000,  -0.442484,  -0.000000,  -0.000000,   82.3100,    0.5198
   10.500,     0.000,   1.119417,   0.036671,   0.010178,   0.046850,   0.000000,   0.000000,  -0.457003,  -0.000000,  -0.000000,   82.3100,    0.5156
   11.000,     0.000,   1.156300,   0.039115,   0.010542,   0.049657,   0.000000,   0.000000,  -0.470093,  -0.000000,  -0.000000,   82.3100,    0.5110
   11.500,     0.000,   1.189004,   0.041336,   0.010928,   0.052264,   0.000000,   0.000000,  -0.480776,  -0.000000,  -0.000000,   82.3100,    0.5059
   12.000,     0.000,   1.220312,   0.043527,   0.011357,   0.054884,   0.000000,   0.000000,  -0.490797,  -0.000000,  -0.000000,   82.3100,    0.5008
   12.500,     0.000,   1.251307,   0.045752,   0.011852,   0.057605,   0.000000,   0.000000,  -0.500843,  -0.000000,  -0.000000,   82.3100,    0.4959
   13.000,     0.000,   1.280929,   0.047953,   0.012417,   0.060370,   0.000000,   0.000000,  -0.510292,  -0.000000,  -0.000000,   82.3100,    0.4910
   13.500,     0.000,   1.307464,   0.049986,   0.013105,   0.063092,   0.000000,   0.000000,  -0.518260,  -0.000000,  -0.000000,   82.3100,    0.4859
   14.000,     0.000,   1.333207,   0.051997,   0.013836,   0.065833,   0.000000,   0.000000,  -0.525884,  -0.000000,  -0.000000,   82.3100,    0.4809
   14.500,     0.000,   1.358562,   0.054000,   0.014626,   0.068626,   0.000000,   0.000000,  -0.533523,  -0.000000,  -0.000000,   82.3100,    0.4762
   15.000,     0.000,   1.382219,   0.055914,   0.015464,   0.071378,   0.000000,   0.000000,  -0.540362,  -0.000000,  -0.000000,   82.3100,    0.4713
   15.500,     0.000,   1.400760,   0.057541,   0.016405,   0.073946,   0.000000,   0.000000,  -0.544635,  -0.000000,  -0.000000,   82.3100,    0.4660
   16.000,     0.000,   1.416725,   0.058933,   0.017446,   0.076379,   0.000000,   0.000000,  -0.547591,  -0.000000,  -0.000000,   82.3100,    0.4604
   16.500,     0.000,   1.432958,   0.060338,   0.018665,   0.079003,   0.000000,   0.000000,  -0.551137,  -0.000000,  -0.000000,   82.3100,    0.4554
   17.000,     0.000,   1.448644,   0.061725,   0.020021,   0.081746,   0.000000,   0.000000,  -0.554623,  -0.000000,  -0.000000,   82.3100,    0.4505
